geohash,School_Latitude,School_Longitude,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Misconducts_To_Suspensions_Year_1_Pct,Misconducts_To_Suspensions_Year_2_Pct,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Average_Length_Suspension_Year_1_Pct,Average_Length_Suspension_Year_2_Pct,Mobility_Rate_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,Freshmen_On_Track_School_Pct_Year_2,Freshmen_On_Track_School_Pct_Year_1,College_Enrollment_School_Pct_Year_2,College_Enrollment_School_Pct_Year_1,College_Persistence_School_Pct_Year_2,College_Persistence_School_Pct_Year_1,Avg_Misconduct_Rate,Avg_Suspension_Rate,Avg_Student_Attendance_Rate,Avg_Teacher_Attendance_Rate,Avg_Suspension_Days,SchoolCount,Year
dp3we,41.94,-87.73,95.0,90.33,91.87,91.65,18.18,21.37,6.53,5.71,2.29,1.94,15.54,6.69,5.42,86.55,80.93,46.77,48.16,64.63,62.75,20.04,6.21,91.9,92.67,2.11,21,2016
dp3wf,41.99,-87.78,95.46,91.14,94.34,94.51,15.94,23.28,1.81,0.74,1.84,1.96,9.98,5.04,3.37,87.44,83.69,52.59,55.16,66.68,66.52,14.78,1.45,94.43,93.3,1.71,8,2016
dp3wg,41.98,-87.73,94.96,90.43,94.96,94.8,24.21,16.37,2.11,1.4,1.53,1.43,12.29,3.71,2.61,90.21,87.39,47.44,48.89,67.01,66.41,20.45,1.81,94.88,92.7,1.48,7,2016
dp3wh,41.86,-87.7,94.87,90.27,90.49,91.36,25.7,23.95,8.37,8.92,2.11,1.99,19.87,8.72,6.43,87.16,82.86,47.03,49.91,62.34,61.62,24.35,8.8,90.92,92.58,2.02,47,2016
dp3wj,41.86,-87.65,95.29,90.71,93.35,93.65,22.89,26.59,4.03,4.36,1.91,2.07,10.74,5.56,4.99,87.66,84.55,54.74,55.86,65.93,65.41,23.85,4.37,93.5,93.0,2.05,27,2016
dp3wk,41.9,-87.69,95.15,90.59,91.23,91.65,20.21,26.24,5.9,6.6,1.97,2.01,14.3,8.7,7.25,88.17,84.5,48.19,51.19,61.45,62.05,22.41,6.37,91.44,92.88,1.94,35,2016
dp3wm,41.9,-87.65,95.23,90.61,92.7,92.61,19.1,26.32,3.2,2.87,1.97,1.82,13.83,6.28,4.76,86.82,84.91,57.24,57.5,66.37,65.37,23.08,3.17,92.65,92.93,1.89,27,2016
dp3wn,41.84,-87.62,94.6,90.12,86.74,85.62,22.86,34.06,27.68,9.14,2.18,2.02,16.68,9.78,9.0,84.59,83.24,34.44,40.84,65.76,56.18,28.9,18.57,86.18,92.37,2.1,5,2016
dp3wq,41.88,-87.63,95.0,90.4,96.3,96.9,18.05,20.6,2.55,2.5,2.1,2.0,16.2,1.8,0.7,95.0,93.9,88.4,88.6,82.2,70.3,20.42,2.92,96.6,92.72,2.05,1,2016
dp3ws,41.95,-87.69,95.37,90.85,93.89,91.75,25.18,22.78,2.58,2.69,2.05,1.96,12.23,6.43,4.9,87.2,84.04,52.35,54.78,66.27,66.75,24.15,2.7,92.82,93.11,2.01,19,2016
dp3wt,41.95,-87.66,95.71,91.08,93.81,93.66,15.0,30.77,3.73,5.74,1.85,1.65,11.62,6.95,5.48,87.29,83.73,51.35,53.93,62.81,62.64,22.95,4.76,93.74,93.39,1.75,17,2016
dp3wu,41.99,-87.7,95.51,90.8,94.96,95.12,17.81,13.64,1.9,1.64,1.55,1.51,12.27,4.26,3.27,87.99,84.53,55.26,56.37,68.39,68.46,15.78,1.79,95.03,93.15,1.53,20,2016
dp3wv,41.99,-87.66,95.73,91.05,94.31,93.84,17.28,25.23,4.76,5.8,2.23,1.65,23.07,4.45,3.36,88.92,86.23,53.19,52.94,64.97,67.24,21.26,5.28,94.07,93.39,1.94,10,2016
dp3x1,42.02,-87.81,94.9,89.8,56.8,46.0,18.05,47.8,2.55,1.85,2.1,2.5,16.2,19.0,23.55,87.65,83.8,44.45,52.5,64.9,64.85,20.42,2.92,73.15,92.36,2.05,2,2016
dp3xh,42.02,-87.68,94.9,90.18,94.98,95.02,23.02,21.82,2.44,3.9,2.44,1.94,20.94,4.02,3.08,84.73,80.1,55.28,57.64,67.0,68.8,22.86,3.33,95.0,92.55,2.19,5,2016
dp3sy,41.65,-87.6,94.78,94.36,92.62,93.04,61.78,19.9,13.36,6.54,2.7,2.88,26.88,4.94,4.2,85.2,85.76,51.34,52.52,64.3,67.28,41.23,10.12,92.83,94.57,2.81,5,2015
dp3sz,41.65,-87.54,95.5,94.9,95.2,94.4,25.0,21.4,0.2,0.5,2.0,1.3,17.0,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,23.2,0.35,94.8,95.2,1.65,1,2015
dp3t5,41.69,-87.72,93.7,93.6,93.8,93.6,22.5,23.3,19.6,2.5,2.0,3.8,2.4,2.5,2.0,93.9,90.1,79.1,78.6,81.5,89.0,22.9,11.05,93.7,93.65,2.9,1,2015
dp3t7,41.74,-87.73,95.3,94.3,95.8,95.6,75.17,18.97,3.43,0.73,2.3,1.97,13.93,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,47.07,2.08,95.7,94.8,2.13,3,2015
dp3td,41.78,-87.78,95.32,95.13,91.9,91.13,47.67,31.67,4.78,4.32,1.77,1.75,14.65,6.88,5.03,83.3,83.06,52.51,53.03,65.03,68.23,42.4,5.37,91.52,95.22,1.82,6,2015
dp3te,41.78,-87.73,95.18,94.92,93.25,93.32,27.02,23.32,8.75,5.58,2.66,2.6,12.5,5.36,4.08,85.06,84.87,51.41,53.79,67.01,67.68,27.37,7.66,93.29,95.05,2.55,8,2015
dp3tf,41.8,-87.78,96.05,95.55,95.3,95.2,22.2,16.65,1.1,1.1,2.65,2.45,8.9,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,19.42,1.1,95.25,95.8,2.55,2,2015
dp3tg,41.81,-87.73,95.67,94.88,93.7,93.42,40.45,27.22,12.52,5.02,2.36,2.21,14.71,4.89,4.02,84.01,83.41,53.74,54.47,67.98,70.21,34.72,9.15,93.67,95.28,2.33,11,2015
dp3th,41.69,-87.69,95.58,95.16,95.75,95.38,69.6,19.5,4.66,1.78,2.06,1.64,8.68,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,44.16,4.69,95.4,95.37,1.91,5,2015
dp3tj,41.69,-87.65,95.33,94.63,91.12,89.95,60.89,17.96,19.81,10.8,2.63,2.24,32.85,8.49,10.03,82.61,82.44,51.0,50.57,62.69,67.56,39.5,15.67,90.65,94.98,2.41,18,2015
dp3tk,41.74,-87.69,95.49,94.94,92.03,93.57,53.86,16.47,4.07,2.5,2.11,2.09,14.63,10.47,8.73,83.8,84.05,48.31,46.74,60.61,64.8,32.43,4.52,92.8,95.21,2.19,7,2015
dp3tm,41.73,-87.65,95.21,94.66,91.85,93.33,57.73,26.05,14.09,7.16,2.39,2.11,25.01,6.45,5.81,83.76,83.39,52.85,52.59,62.3,64.93,42.59,10.93,92.67,94.94,2.29,28,2015
dp3tn,41.69,-87.62,95.54,95.04,93.93,94.55,53.71,19.01,12.86,4.45,2.4,2.31,23.52,5.19,4.39,84.94,85.58,56.24,56.09,67.0,69.82,37.09,9.38,94.24,95.29,2.41,8,2015
dp3tp,41.68,-87.56,95.0,94.1,93.65,94.2,40.95,12.6,9.65,3.65,1.5,1.45,18.3,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,26.78,6.65,93.92,94.55,1.48,2,2015
dp3tq,41.73,-87.61,95.44,94.63,90.63,90.46,56.38,33.44,16.18,6.33,2.46,2.5,22.99,10.51,10.07,82.32,82.87,49.98,48.63,59.24,66.04,46.34,11.55,90.54,95.04,2.51,18,2015
dp3tr,41.73,-87.56,95.17,94.84,92.37,91.43,64.97,24.6,22.11,10.91,2.29,2.22,24.39,5.41,5.19,83.16,84.36,49.27,49.58,62.45,66.18,45.3,16.73,92.02,95.01,2.28,19,2015
dp3ts,41.77,-87.69,95.43,94.85,93.08,90.14,62.36,31.6,18.57,9.94,2.4,2.3,23.82,9.99,7.05,83.55,84.04,50.0,50.0,64.61,68.68,45.5,14.47,93.43,95.14,2.31,22,2015
dp3tt,41.77,-87.65,95.26,94.68,90.12,89.5,56.1,19.73,20.33,8.48,2.8,2.48,29.75,8.92,9.82,82.78,82.94,52.02,52.08,60.57,64.16,38.79,14.78,90.62,94.97,2.56,26,2015
dp3tu,41.81,-87.69,95.59,95.04,95.33,94.66,49.34,22.92,5.41,2.54,2.36,2.04,15.83,5.34,5.28,83.8,84.48,52.17,51.82,63.78,67.87,35.32,4.43,95.26,95.31,2.2,32,2015
dp3tv,41.81,-87.65,95.54,95.11,91.95,92.53,46.34,25.93,18.8,12.47,2.44,2.64,28.18,7.92,6.4,82.96,82.63,49.28,48.95,60.87,62.95,36.66,15.95,92.24,95.33,2.39,22,2015
dp3tw,41.77,-87.61,95.26,94.74,90.92,91.81,68.66,27.76,30.67,9.53,2.48,2.32,32.03,7.62,6.83,81.62,82.71,51.65,51.95,64.22,67.73,47.89,20.33,91.37,95.0,2.44,23,2015
dp3tx,41.76,-87.57,95.74,95.34,89.61,86.39,56.62,22.94,20.26,11.9,2.47,2.36,29.38,6.12,5.55,85.27,84.82,52.15,51.9,63.7,67.6,43.62,16.24,89.18,95.54,2.39,10,2015
dp3ty,41.81,-87.61,95.52,95.05,90.76,90.9,57.39,24.23,32.37,17.33,2.38,2.17,20.84,7.3,5.87,82.78,84.25,56.14,53.48,64.58,68.11,41.5,24.87,90.96,95.28,2.32,30,2015
dp3v0,41.69,-87.54,95.73,94.77,92.7,92.77,46.43,11.43,18.07,9.17,1.73,2.4,11.1,6.0,4.13,84.73,84.83,54.57,49.6,65.47,68.67,34.68,15.75,92.73,95.25,2.18,3,2015
dp3v2,41.71,-87.53,94.87,94.33,95.3,95.0,41.73,10.83,4.93,2.37,2.03,1.93,18.37,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,26.93,3.93,95.02,94.6,2.02,3,2015
dp3w4,41.87,-87.77,95.0,94.43,94.1,94.93,27.33,9.5,13.5,4.3,2.2,2.0,18.57,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,18.42,8.9,94.52,94.72,2.1,3,2015
dp3w5,41.86,-87.73,95.74,95.19,93.86,93.38,57.57,32.7,9.83,7.74,2.5,2.41,20.28,7.18,6.16,84.49,84.71,50.62,51.33,62.2,66.53,45.9,9.27,93.62,95.46,2.49,27,2015
dp3w6,41.9,-87.77,95.35,94.74,91.21,91.81,69.97,30.5,29.25,15.64,2.69,2.36,19.27,7.99,6.21,82.45,81.82,49.55,49.37,60.61,64.95,50.76,22.67,91.51,95.05,2.55,15,2015
dp3w7,41.9,-87.74,95.52,95.16,90.91,91.46,52.2,21.35,22.87,9.32,2.2,2.16,20.46,8.94,7.95,83.16,83.09,50.04,50.43,62.81,67.2,37.9,16.5,91.6,95.34,2.23,34,2015
dp3w9,41.95,-87.82,95.95,95.15,95.2,94.95,16.9,7.1,3.35,1.3,2.5,2.4,9.6,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,12.0,2.33,95.08,95.55,2.45,2,2015
dp3wc,41.99,-87.82,96.12,95.38,95.62,95.38,43.84,9.72,1.32,0.84,1.36,2.22,10.4,5.8,4.8,83.8,84.05,52.15,51.9,63.7,67.6,22.17,1.93,95.5,95.75,1.93,5,2015
dp3wd,41.94,-87.77,95.52,94.83,94.09,94.05,39.76,21.51,5.36,2.88,2.19,2.04,13.19,5.59,4.39,84.89,84.82,50.65,50.54,64.66,67.54,30.75,4.17,94.13,95.17,2.12,16,2015
dp3we,41.94,-87.73,95.52,94.95,92.14,91.94,45.3,20.45,11.06,7.52,1.89,2.4,15.47,7.6,6.67,81.06,80.79,48.08,50.42,61.9,66.02,33.41,9.67,92.17,95.24,2.2,22,2015
dp3wf,41.99,-87.78,96.1,95.46,94.21,94.34,44.34,16.12,2.24,1.92,1.74,1.84,9.98,5.5,5.12,83.69,84.06,54.86,53.46,65.51,69.3,30.48,2.52,94.28,95.78,1.86,8,2015
dp3wg,41.98,-87.73,95.34,94.96,95.06,94.96,50.39,27.17,4.33,2.69,2.9,1.83,12.29,4.64,3.79,87.39,86.33,48.64,47.71,65.43,69.46,42.19,4.24,95.01,95.15,2.05,7,2015
dp3wh,41.86,-87.69,95.56,94.87,89.45,90.04,49.58,27.2,16.74,8.75,2.36,2.24,20.82,9.89,9.59,82.88,83.0,49.73,49.74,59.8,66.58,38.86,13.24,89.74,95.22,2.33,48,2015
dp3wj,41.86,-87.65,95.68,95.29,93.68,93.35,55.26,27.12,8.32,4.66,2.31,2.21,10.74,6.84,5.63,84.55,85.37,55.62,53.89,64.56,67.87,41.68,7.28,93.52,95.49,2.36,27,2015
dp3wk,41.9,-87.69,95.74,95.15,93.33,91.23,46.47,21.86,11.07,6.33,2.07,2.09,14.3,8.75,8.78,84.5,84.7,50.9,50.73,61.09,66.95,35.79,9.17,92.91,95.45,2.13,35,2015
dp3wm,41.9,-87.65,95.76,95.23,92.49,92.08,47.81,20.98,7.22,3.7,2.12,2.12,13.92,7.21,6.97,84.87,85.17,55.66,56.13,64.57,68.62,35.93,6.01,92.37,95.49,2.16,28,2015
dp3wn,41.84,-87.62,95.3,94.6,88.52,86.74,60.74,23.34,28.34,27.98,2.02,2.18,16.68,16.98,9.8,83.24,82.68,40.77,40.56,55.72,65.6,42.82,28.5,87.63,94.95,2.14,5,2015
dp3wq,41.88,-87.63,95.6,95.0,90.95,93.25,50.0,19.4,7.0,3.3,2.2,2.1,23.0,7.95,2.45,88.85,84.05,52.85,56.5,67.0,67.6,36.65,6.0,92.1,95.3,2.25,2,2015
dp3ws,41.95,-87.69,95.89,95.37,93.39,93.89,41.28,26.41,5.65,2.85,2.32,2.17,12.23,7.34,6.51,84.04,83.32,54.52,54.77,65.84,69.26,31.8,4.71,93.64,95.63,2.12,19,2015
dp3wt,41.95,-87.66,96.14,95.71,94.18,93.81,40.32,16.22,7.59,3.96,2.44,1.97,11.62,8.12,7.03,83.73,83.86,53.64,52.24,61.69,68.14,29.46,5.96,94.0,95.92,2.21,17,2015
dp3wu,41.99,-87.7,95.92,95.51,94.8,94.96,45.22,21.08,3.88,2.44,2.24,1.86,12.27,5.26,4.33,84.53,84.58,56.09,55.37,67.54,69.96,35.44,3.77,94.88,95.71,2.07,20,2015
dp3wv,41.99,-87.66,96.17,95.73,93.82,94.31,44.84,17.29,9.89,4.76,2.27,2.23,23.07,5.89,4.52,86.23,84.6,52.69,53.61,66.44,67.4,31.72,7.5,94.06,95.95,2.3,10,2015
dp3x1,42.02,-87.81,95.45,94.9,57.9,56.8,50.0,19.4,7.0,3.3,2.2,2.1,16.2,27.6,19.05,83.8,84.05,52.15,51.9,63.7,67.6,36.65,6.0,76.05,95.18,2.25,2,2015
dp3xh,42.02,-87.68,95.24,94.9,95.06,94.98,71.92,23.48,10.62,2.74,2.18,2.44,20.94,5.76,4.08,80.1,84.05,57.36,52.82,67.88,71.22,48.48,7.02,95.02,95.07,2.35,5,2015
